timestamp,readingtime,temperature,humidity,pressure,altitude,temperature status,humidity status,pressure status
1638219209159,01:53:29 2021/11/30,21.34,51.51,954,505.37,NORMAL,NORMAL,NORMAL
1638219269158,01:54:29 2021/11/30,21.34,51.48,953.99,505.52,NORMAL,NORMAL,NORMAL
1638219329167,01:55:29 2021/11/30,21.34,51.57,953.97,505.68,NORMAL,NORMAL,NORMAL
1638219389188,01:56:29 2021/11/30,21.34,51.59,954,505.39,NORMAL,NORMAL,NORMAL
1638219449096,01:57:29 2021/11/30,21.34,51.58,953.97,505.65,NORMAL,NORMAL,NORMAL
1638219509089,01:58:29 2021/11/30,21.34,51.55,953.94,505.92,NORMAL,NORMAL,NORMAL
1638219569102,01:59:29 2021/11/30,21.33,51.51,953.95,505.85,NORMAL,NORMAL,NORMAL
1638219629107,02:00:29 2021/11/30,21.32,51.53,953.89,506.37,NORMAL,NORMAL,NORMAL
1638219689102,02:01:29 2021/11/30,21.32,51.56,953.91,506.21,NORMAL,NORMAL,NORMAL
1638219749111,02:02:29 2021/11/30,21.33,51.55,953.87,506.58,NORMAL,NORMAL,NORMAL
1638219809115,02:03:29 2021/11/30,21.32,51.47,953.9,506.3,NORMAL,NORMAL,NORMAL
1638219869121,02:04:29 2021/11/30,21.32,51.64,953.85,506.72,NORMAL,NORMAL,NORMAL
1638219929316,02:05:29 2021/11/30,21.32,51.45,953.85,506.69,NORMAL,NORMAL,NORMAL
1638219989135,02:06:29 2021/11/30,21.32,51.47,953.85,506.73,NORMAL,NORMAL,NORMAL
1638220049141,02:07:29 2021/11/30,21.32,51.54,953.83,506.86,NORMAL,NORMAL,NORMAL
1638220109149,02:08:29 2021/11/30,21.32,51.5,953.83,506.92,NORMAL,NORMAL,NORMAL
1638220169157,02:09:29 2021/11/30,21.31,51.52,953.85,506.69,NORMAL,NORMAL,NORMAL
1638220229161,02:10:29 2021/11/30,21.31,51.48,953.82,506.94,NORMAL,NORMAL,NORMAL
1638220289174,02:11:29 2021/11/30,21.32,51.55,953.82,506.96,NORMAL,NORMAL,NORMAL
1638220349174,02:12:29 2021/11/30,21.32,51.69,953.85,506.71,NORMAL,NORMAL,NORMAL
1638220409187,02:13:29 2021/11/30,21.31,51.42,953.82,506.96,NORMAL,NORMAL,NORMAL
1638220469194,02:14:29 2021/11/30,21.31,51.36,953.84,506.8,NORMAL,NORMAL,NORMAL
1638220529194,02:15:29 2021/11/30,21.31,51.65,953.82,506.97,NORMAL,NORMAL,NORMAL
1638220589201,02:16:29 2021/11/30,21.3,51.55,953.8,507.13,NORMAL,NORMAL,NORMAL
1638220649207,02:17:29 2021/11/30,21.3,51.59,953.8,507.15,NORMAL,NORMAL,NORMAL
1638220709225,02:18:29 2021/11/30,21.3,51.59,953.79,507.26,NORMAL,NORMAL,NORMAL
1638220769220,02:19:29 2021/11/30,21.29,51.65,953.8,507.17,NORMAL,NORMAL,NORMAL
1638220829234,02:20:29 2021/11/30,21.3,51.67,953.77,507.38,NORMAL,NORMAL,NORMAL
1638220889242,02:21:29 2021/11/30,21.3,51.58,953.8,507.17,NORMAL,NORMAL,NORMAL
1638220949241,02:22:29 2021/11/30,21.29,51.56,953.8,507.14,NORMAL,NORMAL,NORMAL
1638221009256,02:23:29 2021/11/30,21.3,51.76,953.83,506.93,NORMAL,NORMAL,NORMAL
1638221069254,02:24:29 2021/11/30,21.3,51.66,953.79,507.28,NORMAL,NORMAL,NORMAL
1638221129260,02:25:29 2021/11/30,21.29,51.67,953.79,507.22,NORMAL,NORMAL,NORMAL
1638221189266,02:26:29 2021/11/30,21.29,51.61,953.83,506.93,NORMAL,NORMAL,NORMAL
1638221249274,02:27:29 2021/11/30,21.29,51.49,953.81,507.1,NORMAL,NORMAL,NORMAL
1638221309280,02:28:29 2021/11/30,21.28,51.5,953.78,507.3,NORMAL,NORMAL,NORMAL
1638221369290,02:29:29 2021/11/30,21.28,51.59,953.79,507.23,NORMAL,NORMAL,NORMAL
1638221429395,02:30:29 2021/11/30,21.27,51.7,953.76,507.54,NORMAL,NORMAL,NORMAL
1638221489404,02:31:29 2021/11/30,21.27,51.49,953.8,507.17,NORMAL,NORMAL,NORMAL
1638221549306,02:32:29 2021/11/30,21.28,51.61,953.75,507.57,NORMAL,NORMAL,NORMAL
1638221609313,02:33:29 2021/11/30,21.28,51.55,953.79,507.27,NORMAL,NORMAL,NORMAL
1638221669319,02:34:29 2021/11/30,21.27,51.52,953.76,507.47,NORMAL,NORMAL,NORMAL
1638221729331,02:35:29 2021/11/30,21.27,51.71,953.76,507.47,NORMAL,NORMAL,NORMAL
1638221789388,02:36:29 2021/11/30,21.28,51.37,953.78,507.31,NORMAL,NORMAL,NORMAL
1638221849340,02:37:29 2021/11/30,21.27,51.52,953.74,507.66,NORMAL,NORMAL,NORMAL
1638221909354,02:38:29 2021/11/30,21.27,51.53,953.79,507.24,NORMAL,NORMAL,NORMAL
1638221969353,02:39:29 2021/11/30,21.26,51.7,953.74,507.65,NORMAL,NORMAL,NORMAL
1638222029366,02:40:29 2021/11/30,21.27,51.74,953.76,507.49,NORMAL,NORMAL,NORMAL
1638222089367,02:41:29 2021/11/30,21.26,51.57,953.76,507.53,NORMAL,NORMAL,NORMAL
1638222149388,02:42:29 2021/11/30,21.26,51.55,953.77,507.41,NORMAL,NORMAL,NORMAL
1638222209383,02:43:29 2021/11/30,21.26,51.58,953.75,507.63,NORMAL,NORMAL,NORMAL
1638222269393,02:44:29 2021/11/30,21.26,51.66,953.72,507.82,NORMAL,NORMAL,NORMAL
1638222329404,02:45:29 2021/11/30,21.26,51.57,953.71,507.93,NORMAL,NORMAL,NORMAL
1638222389412,02:46:29 2021/11/30,21.25,51.73,953.69,508.16,NORMAL,NORMAL,NORMAL
1638222449406,02:47:29 2021/11/30,21.24,51.65,953.7,508.06,NORMAL,NORMAL,NORMAL
1638222509412,02:48:29 2021/11/30,21.24,51.65,953.68,508.24,NORMAL,NORMAL,NORMAL
1638222569419,02:49:29 2021/11/30,21.24,51.56,953.71,507.91,NORMAL,NORMAL,NORMAL
1638222629425,02:50:29 2021/11/30,21.24,51.56,953.67,508.31,NORMAL,NORMAL,NORMAL
1638222689435,02:51:29 2021/11/30,21.25,51.6,953.66,508.38,NORMAL,NORMAL,NORMAL
1638222749439,02:52:29 2021/11/30,21.24,51.61,953.64,508.56,NORMAL,NORMAL,NORMAL
1638222809446,02:53:29 2021/11/30,21.24,51.56,953.64,508.56,NORMAL,NORMAL,NORMAL
1638222869457,02:54:29 2021/11/30,21.24,51.49,953.65,508.5,NORMAL,NORMAL,NORMAL
1638222931416,02:55:31 2021/11/30,21.24,51.58,953.64,508.54,NORMAL,NORMAL,NORMAL
1638222989467,02:56:29 2021/11/30,21.24,51.67,953.64,508.59,NORMAL,NORMAL,NORMAL
1638223049475,02:57:29 2021/11/30,21.24,51.56,953.59,508.96,NORMAL,NORMAL,NORMAL
1638223109480,02:58:29 2021/11/30,21.23,51.49,953.57,509.21,NORMAL,NORMAL,NORMAL
1638223169486,02:59:29 2021/11/30,21.24,51.62,953.57,509.17,NORMAL,NORMAL,NORMAL
1638223229509,03:00:29 2021/11/30,21.23,51.71,953.55,509.32,NORMAL,NORMAL,NORMAL
1638223289500,03:01:29 2021/11/30,21.23,51.65,953.5,509.73,NORMAL,NORMAL,NORMAL
1638223349513,03:02:29 2021/11/30,21.23,51.4,953.52,509.58,NORMAL,NORMAL,NORMAL
1638223409526,03:03:29 2021/11/30,21.23,51.59,953.52,509.58,NORMAL,NORMAL,NORMAL
1638223469530,03:04:29 2021/11/30,21.22,51.67,953.49,509.82,NORMAL,NORMAL,NORMAL
1638223529526,03:05:29 2021/11/30,21.22,51.56,953.47,510.03,NORMAL,NORMAL,NORMAL
1638223589548,03:06:29 2021/11/30,21.22,51.6,953.47,510.01,NORMAL,NORMAL,NORMAL
1638223649539,03:07:29 2021/11/30,21.21,51.57,953.44,510.3,NORMAL,NORMAL,NORMAL
1638223709562,03:08:29 2021/11/30,21.22,51.55,953.39,510.7,NORMAL,NORMAL,NORMAL
1638223769552,03:09:29 2021/11/30,21.22,51.54,953.39,510.75,NORMAL,NORMAL,NORMAL
1638223829559,03:10:29 2021/11/30,21.22,51.61,953.43,510.38,NORMAL,NORMAL,NORMAL
1638223889567,03:11:29 2021/11/30,21.21,51.56,953.41,510.61,NORMAL,NORMAL,NORMAL
1638223949572,03:12:29 2021/11/30,21.21,51.45,953.35,511.11,NORMAL,NORMAL,NORMAL
1638224009579,03:13:29 2021/11/30,21.22,51.65,953.39,510.71,NORMAL,NORMAL,NORMAL
1638224069586,03:14:29 2021/11/30,21.21,51.56,953.36,511.03,NORMAL,NORMAL,NORMAL
1638224129595,03:15:29 2021/11/30,21.21,51.59,953.37,510.95,NORMAL,NORMAL,NORMAL
1638224189600,03:16:29 2021/11/30,21.21,51.58,953.37,510.87,NORMAL,NORMAL,NORMAL
1638224249608,03:17:29 2021/11/30,21.21,51.51,953.39,510.74,NORMAL,NORMAL,NORMAL
1638224309616,03:18:29 2021/11/30,21.21,51.65,953.41,510.57,NORMAL,NORMAL,NORMAL
1638224369621,03:19:29 2021/11/30,21.2,51.59,953.38,510.82,NORMAL,NORMAL,NORMAL
1638224429636,03:20:29 2021/11/30,21.2,51.59,953.41,510.59,NORMAL,NORMAL,NORMAL
1638224489665,03:21:29 2021/11/30,21.19,51.74,953.38,510.78,NORMAL,NORMAL,NORMAL
1638224549649,03:22:29 2021/11/30,21.2,51.71,953.36,510.98,NORMAL,NORMAL,NORMAL
1638224609651,03:23:29 2021/11/30,21.19,51.82,953.37,510.92,NORMAL,NORMAL,NORMAL
1638224669652,03:24:29 2021/11/30,21.19,51.68,953.36,511,NORMAL,NORMAL,NORMAL
1638224729672,03:25:29 2021/11/30,21.19,51.52,953.37,510.92,NORMAL,NORMAL,NORMAL
1638224789669,03:26:29 2021/11/30,21.19,51.59,953.35,511.05,NORMAL,NORMAL,NORMAL
1638224849673,03:27:29 2021/11/30,21.19,51.66,953.36,510.97,NORMAL,NORMAL,NORMAL
1638224909692,03:28:29 2021/11/30,21.18,51.57,953.34,511.16,NORMAL,NORMAL,NORMAL
1638224969704,03:29:29 2021/11/30,21.18,51.51,953.31,511.46,NORMAL,NORMAL,NORMAL
1638225029712,03:30:29 2021/11/30,21.19,51.57,953.35,511.13,NORMAL,NORMAL,NORMAL
1638225089700,03:31:29 2021/11/30,21.18,51.42,953.29,511.6,NORMAL,NORMAL,NORMAL
1638225149706,03:32:29 2021/11/30,21.19,51.78,953.26,511.86,NORMAL,NORMAL,NORMAL
1638225209611,03:33:29 2021/11/30,21.19,51.6,953.29,511.63,NORMAL,NORMAL,NORMAL
1638225269618,03:34:29 2021/11/30,21.19,51.61,953.23,512.14,NORMAL,NORMAL,NORMAL
1638225329625,03:35:29 2021/11/30,21.18,51.49,953.21,512.34,NORMAL,NORMAL,NORMAL
1638225389635,03:36:29 2021/11/30,21.18,51.56,953.19,512.48,NORMAL,NORMAL,NORMAL
1638225449640,03:37:29 2021/11/30,21.18,51.5,953.2,512.41,NORMAL,NORMAL,NORMAL
1638225509651,03:38:29 2021/11/30,21.18,51.64,953.17,512.68,NORMAL,NORMAL,NORMAL
